,archor,url
138,就业信息,http://cc.nankai.edu.cn/13299/list.htm
139,机构设置,http://cc.nankai.edu.cn/xyzsbgs/list.htm
140,院长信箱,http://cc.nankai.edu.cn/13301/list.htm
141,学院概况,http://cc.nankai.edu.cn/13256/list.htm
142,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
143,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
144,书记,http://cc.nankai.edu.cn/sj/list.htm
145,副书记,http://cc.nankai.edu.cn/fsj/list.htm
146,委员,http://cc.nankai.edu.cn/wy_15396/list.htm
147,组织结构,http://cc.nankai.edu.cn/13280/list.htm
148,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
149,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
150,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
151,教代会主席,http://cc.nankai.edu.cn/jdhzx/list.htm
152,工会主席,http://cc.nankai.edu.cn/ghzx/list.htm
153,委员,http://cc.nankai.edu.cn/wy_15399/list.htm
154,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
155,主任,http://cc.nankai.edu.cn/zr_29222/list.htm
156,副主任,http://cc.nankai.edu.cn/fzr_29220/list.htm
157,委员,http://cc.nankai.edu.cn/wy_29221/list.htm
158,学院概况,http://cc.nankai.edu.cn/13256/list.htm
159,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
160,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
161,组织结构,http://cc.nankai.edu.cn/13280/list.htm
162,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
163,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
164,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
165,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
166,学科结构,http://cc.nankai.edu.cn/13262/list.htm
167,计算机科学与技术学科,http://cc.nankai.edu.cn/13263/list.htm
168,教授/研究员,http://cc.nankai.edu.cn/jswyjy/list.htm
169,副教授/副研究员,http://cc.nankai.edu.cn/fjswfyjy/list.htm
170,讲师,http://cc.nankai.edu.cn/js/list.htm
171,实验教学队伍,http://cc.nankai.edu.cn/syjxdw/list.htm
172,博士后,http://cc.nankai.edu.cn/bsh/list.htm
173,兼职教授,http://cc.nankai.edu.cn/jzjs/list.htm
174,本科教育,http://cc.nankai.edu.cn/13272/list.htm
175,研究生教育,http://cc.nankai.edu.cn/13273/list.htm
176,硕士生导师,http://cc.nankai.edu.cn/13274/list.htm
177,博士生导师,http://cc.nankai.edu.cn/bssds/list.htm
178,系所中心,http://cc.nankai.edu.cn/13280/list.htm
179,学术团队,http://cc.nankai.edu.cn/13281/list.htm
180,合作院校分布,http://cc.nankai.edu.cn/13289/list.htm
181,联合培养项目,http://cc.nankai.edu.cn/13290/list.htm
182,最新动态,http://cc.nankai.edu.cn/13291/list.htm
183,学院公告,http://cc.nankai.edu.cn/13292/list.htm
184,学生工作通知,http://cc.nankai.edu.cn/13293/list.htm
185,科研信息,http://cc.nankai.edu.cn/13294/list.htm
186,本科生教学,http://cc.nankai.edu.cn/13295/list.htm
187,党团园地,http://cc.nankai.edu.cn/13296/list.htm
188,研究生招生,http://cc.nankai.edu.cn/13297/list.htm
189,研究生教学,http://cc.nankai.edu.cn/13298/list.htm
190,就业信息,http://cc.nankai.edu.cn/13299/list.htm
191,机构设置,http://cc.nankai.edu.cn/xyzsbgs/list.htm
192,院长信箱,http://cc.nankai.edu.cn/13301/list.htm
193,学院概况,http://cc.nankai.edu.cn/13256/list.htm
194,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
195,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
196,组织结构,http://cc.nankai.edu.cn/13280/list.htm
